Date,SKU,Product_Category,Brand,Region,Sales_Amount,Units_Sold,Promotion_Applied,Holiday_Season,Sub_Category
2025-05-04 07:28:16.173957,SKU_4,Furniture,Brand_B,EU,1394.49,16,Yes,No,Sofas
2025-05-04 07:28:16.174291,SKU_4,Electronics,Brand_B,EU,1372.7,21,No,No,Cameras
2025-05-04 07:28:16.174517,SKU_8,Furniture,Brand_A,NA,1053.63,14,No,Yes,Sofas
2025-05-04 07:28:16.174730,SKU_6,Furniture,Brand_C,NA,1797.47,22,Yes,No,Chairs
2025-05-04 07:28:16.174923,SKU_15,Electronics,Brand_B,EU,384.3487012129325,7,No,No,Smartphones
2025-05-04 07:28:16.175170,SKU_18,Furniture,Brand_D,EU,1891.8,16,No,No,Chairs
2025-05-04 07:28:16.175410,SKU_8,Electronics,Brand_A,NA,1546.01,12,Yes,No,Cameras
2025-05-04 07:28:16.175617,SKU_20,Electronics,Brand_A,NA,1307.4,20,Yes,Yes,Laptops
2025-05-04 07:28:16.175841,SKU_7,Electronics,Brand_D,EU,1616.28,21,Yes,Yes,Laptops
2025-05-04 07:28:16.176038,SKU_20,Electronics,Brand_D,APAC,1460.11,19,No,Yes,Smartphones
2025-05-04 07:28:16.176314,SKU_17,Electronics,Brand_A,NA,1897.26,20,Yes,No,Smartphones
2025-05-05 07:28:16.171785,SKU_19,Electronics,Brand_D,EU,2136.3,17,No,No,Laptops
2025-05-05 07:28:16.172022,SKU_2,Electronics,Brand_B,EU,1617.75,14,Yes,No,Cameras
2025-05-05 07:28:16.172282,SKU_12,Electronics,Brand_A,APAC,1446.37,15,Yes,No,Cameras
2025-05-05 07:28:16.172621,SKU_19,Electronics,Brand_B,NA,1980.85,20,No,No,Laptops
2025-05-05 07:28:16.172843,SKU_5,Furniture,Brand_A,EU,1438.57,22,Yes,Yes,Tables
2025-05-05 07:28:16.173085,SKU_12,Furniture,Brand_B,APAC,1341.96,11,No,No,Sofas
2025-05-05 07:28:16.173335,SKU_17,Furniture,Brand_C,NA,1869.17,25,Yes,No,Chairs
2025-05-05 07:28:16.173542,SKU_5,Electronics,Brand_B,APAC,1751.87,19,Yes,No,Laptops
2025-05-05 07:28:16.173740,SKU_2,Electronics,Brand_D,EU,451.2362683927131,8,No,No,Cameras
2025-05-05 07:28:16.173956,SKU_4,Electronics,Brand_C,APAC,1594.48,17,No,No,Cameras
2025-05-05 07:28:16.174290,SKU_6,Furniture,Brand_A,EU,1396.83,22,No,Yes,Tables
2025-05-05 07:28:16.174515,SKU_9,Furniture,Brand_B,EU,1681.27,27,No,Yes,Chairs
2025-05-05 07:28:16.174728,SKU_10,Furniture,Brand_A,APAC,1651.3,21,Yes,Yes,Sofas
2025-05-05 07:28:16.174921,SKU_11,Electronics,Brand_C,APAC,1116.52,19,Yes,No,Laptops
2025-05-05 07:28:16.175166,SKU_2,Electronics,Brand_D,EU,1512.42,20,No,Yes,Cameras
2025-05-05 07:28:16.175408,SKU_9,Furniture,Brand_D,APAC,1054.9,13,No,Yes,Tables
2025-05-05 07:28:16.175615,SKU_20,Furniture,Brand_D,NA,1073.19,22,No,No,Tables
2025-05-05 07:28:16.175839,SKU_17,Electronics,Brand_A,NA,1351.92,11,Yes,No,Cameras
2025-05-05 07:28:16.176034,SKU_9,Furniture,Brand_D,APAC,1320.94,24,Yes,Yes,Sofas
2025-05-05 07:28:16.176310,SKU_8,Furniture,Brand_D,APAC,987.08,21,No,Yes,Tables
2025-05-06 07:28:16.171783,SKU_5,Electronics,Brand_A,NA,1144.02,15,Yes,No,Cameras
2025-05-06 07:28:16.172019,SKU_5,Furniture,Brand_A,EU,1037.56,12,No,No,Tables
2025-05-06 07:28:16.172280,SKU_6,Electronics,Brand_C,EU,1277.65,17,Yes,No,Laptops
2025-05-06 07:28:16.172619,SKU_16,Electronics,Brand_D,NA,1657.85,13,No,No,Cameras
2025-05-06 07:28:16.172841,SKU_1,Electronics,Brand_C,EU,1943.0,22,No,Yes,Smartphones
2025-05-06 07:28:16.173083,SKU_9,Furniture,Brand_B,APAC,1817.33,17,No,No,Chairs
2025-05-06 07:28:16.173333,SKU_7,Electronics,Brand_B,APAC,1630.18,13,No,No,Laptops
2025-05-06 07:28:16.173540,SKU_11,Electronics,Brand_B,NA,1613.23,18,No,No,Smartphones
2025-05-06 07:28:16.173736,SKU_15,Electronics,Brand_B,NA,1468.23,19,No,No,Smartphones
2025-05-06 07:28:16.173954,SKU_5,Furniture,Brand_A,NA,1470.02,13,No,Yes,Sofas
2025-05-06 07:28:16.174288,SKU_19,Furniture,Brand_C,NA,1915.36,19,No,Yes,Sofas
2025-05-06 07:28:16.174513,SKU_6,Furniture,Brand_C,EU,1685.55,14,Yes,No,Tables
2025-05-06 07:28:16.174726,SKU_14,Electronics,Brand_A,EU,1559.79,25,No,Yes,Cameras
2025-05-06 07:28:16.174919,SKU_20,Furniture,Brand_B,EU,973.38,13,No,No,Chairs
2025-05-06 07:28:16.175163,SKU_14,Furniture,Brand_C,APAC,1718.53,12,No,No,Sofas
2025-05-06 07:28:16.175406,SKU_11,Furniture,Brand_D,APAC,1722.4,18,No,No,Sofas
2025-05-06 07:28:16.175613,SKU_4,Furniture,Brand_A,NA,1314.03,18,No,Yes,Chairs
2025-05-06 07:28:16.175837,SKU_10,Electronics,Brand_A,NA,1567.91,15,Yes,No,Smartphones
2025-05-06 07:28:16.176032,SKU_2,Electronics,Brand_D,EU,715.4278367778008,4,No,Yes,Cameras
2025-05-06 07:28:16.176307,SKU_4,Electronics,Brand_B,EU,1338.53,13,No,Yes,Cameras
2025-05-07 07:28:16.171781,SKU_20,Electronics,Brand_B,EU,1623.07,11,No,No,Smartphones
2025-05-07 07:28:16.172015,SKU_10,Electronics,Brand_C,NA,1175.72,12,Yes,Yes,Cameras
2025-05-07 07:28:16.172278,SKU_1,Electronics,Brand_D,EU,734.2914825590428,5,Yes,No,Cameras
2025-05-07 07:28:16.172617,SKU_14,Furniture,Brand_C,NA,1659.37,18,Yes,No,Chairs
2025-05-07 07:28:16.172839,SKU_18,Furniture,Brand_B,NA,1467.07,20,Yes,No,Sofas
2025-05-07 07:28:16.173081,SKU_12,Furniture,Brand_C,APAC,1787.66,15,Yes,No,Tables
2025-05-07 07:28:16.173331,SKU_19,Furniture,Brand_D,APAC,1735.12,19,Yes,No,Tables
2025-05-07 07:28:16.173538,SKU_12,Electronics,Brand_D,NA,1276.56,12,No,No,Laptops
2025-05-07 07:28:16.173734,SKU_5,Electronics,Brand_D,EU,1348.47,13,Yes,No,Laptops
2025-05-07 07:28:16.173952,SKU_4,Furniture,Brand_B,NA,813.8,13,No,No,Tables
2025-05-07 07:28:16.174286,SKU_13,Furniture,Brand_A,NA,1178.37,21,No,No,Sofas
2025-05-07 07:28:16.174512,SKU_18,Electronics,Brand_A,NA,1700.06,15,No,No,Smartphones
2025-05-07 07:28:16.174725,SKU_12,Furniture,Brand_A,NA,1554.98,14,Yes,No,Tables
2025-05-07 07:28:16.174917,SKU_16,Furniture,Brand_C,APAC,1352.03,22,Yes,No,Tables
2025-05-07 07:28:16.175160,SKU_6,Furniture,Brand_D,APAC,1604.11,13,No,No,Chairs
2025-05-07 07:28:16.175404,SKU_7,Electronics,Brand_B,NA,1340.43,17,No,No,Cameras
2025-05-07 07:28:16.175611,SKU_9,Electronics,Brand_A,APAC,1064.75,28,Yes,No,Cameras
2025-05-07 07:28:16.175835,SKU_10,Electronics,Brand_A,APAC,1215.98,21,Yes,No,Laptops
2025-05-07 07:28:16.176029,SKU_5,Furniture,Brand_C,EU,2188.51,22,No,No,Tables
2025-05-07 07:28:16.176303,SKU_4,Electronics,Brand_C,APAC,1454.42,19,No,No,Smartphones
2025-05-08 07:28:16.171779,SKU_11,Furniture,Brand_A,APAC,1471.69,24,No,No,Chairs
2025-05-08 07:28:16.172013,SKU_19,Furniture,Brand_D,NA,1656.98,17,No,No,Chairs
2025-05-08 07:28:16.172276,SKU_7,Electronics,Brand_D,APAC,1793.65,11,Yes,No,Smartphones
2025-05-08 07:28:16.172616,SKU_13,Electronics,Brand_C,APAC,1432.23,21,No,No,Smartphones
2025-05-08 07:28:16.172837,SKU_13,Electronics,Brand_C,APAC,1832.83,21,Yes,No,Smartphones
2025-05-08 07:28:16.173077,SKU_18,Electronics,Brand_D,NA,1433.95,15,Yes,Yes,Cameras
2025-05-08 07:28:16.173329,SKU_9,Electronics,Brand_C,NA,1496.83,18,No,No,Smartphones
2025-05-08 07:28:16.173537,SKU_13,Electronics,Brand_C,APAC,1355.41,20,Yes,No,Laptops
2025-05-08 07:28:16.173732,SKU_13,Electronics,Brand_D,NA,1730.66,20,Yes,No,Laptops
2025-05-08 07:28:16.173950,SKU_5,Furniture,Brand_D,NA,1085.48,26,No,Yes,Tables
2025-05-08 07:28:16.174284,SKU_12,Electronics,Brand_B,EU,1568.68,18,Yes,No,Smartphones
2025-05-08 07:28:16.174510,SKU_1,Furniture,Brand_C,APAC,1677.67,24,Yes,Yes,Chairs
2025-05-08 07:28:16.174723,SKU_18,Electronics,Brand_C,EU,1807.56,18,Yes,No,Cameras
2025-05-08 07:28:16.174915,SKU_17,Furniture,Brand_B,APAC,1663.89,19,No,No,Sofas
2025-05-08 07:28:16.175159,SKU_10,Furniture,Brand_C,APAC,1224.02,21,No,No,Sofas
2025-05-08 07:28:16.175402,SKU_9,Electronics,Brand_C,EU,685.5823265656136,6,No,Yes,Cameras
2025-05-08 07:28:16.175609,SKU_20,Electronics,Brand_A,EU,1722.02,18,No,No,Laptops
2025-05-08 07:28:16.175833,SKU_8,Electronics,Brand_A,APAC,1694.72,23,No,Yes,Laptops
2025-05-08 07:28:16.176028,SKU_15,Furniture,Brand_A,EU,1428.18,23,Yes,Yes,Chairs
2025-05-08 07:28:16.176300,SKU_13,Electronics,Brand_B,EU,1454.24,25,No,No,Smartphones
2025-05-09 07:28:16.171777,SKU_17,Electronics,Brand_C,NA,1798.74,11,No,No,Laptops
2025-05-09 07:28:16.172011,SKU_9,Furniture,Brand_B,APAC,1500.63,21,No,Yes,Tables
2025-05-09 07:28:16.172274,SKU_11,Furniture,Brand_B,NA,1213.79,14,Yes,No,Tables
2025-05-09 07:28:16.172613,SKU_4,Furniture,Brand_C,APAC,1377.18,18,Yes,Yes,Sofas
2025-05-09 07:28:16.172835,SKU_7,Furniture,Brand_D,NA,1947.45,29,No,No,Sofas
2025-05-09 07:28:16.173075,SKU_20,Furniture,Brand_D,APAC,1096.9,20,No,Yes,Tables
2025-05-09 07:28:16.173326,SKU_3,Furniture,Brand_C,NA,1890.08,14,Yes,No,Sofas
2025-05-09 07:28:16.173535,SKU_10,Furniture,Brand_D,APAC,1507.24,22,Yes,Yes,Chairs
2025-05-09 07:28:16.173730,SKU_3,Furniture,Brand_A,NA,1102.32,14,Yes,No,Sofas
2025-05-09 07:28:16.173948,SKU_1,Electronics,Brand_C,EU,1737.64,18,Yes,No,Cameras
2025-05-09 07:28:16.174282,SKU_14,Electronics,Brand_B,APAC,1286.52,18,Yes,No,Laptops
2025-05-09 07:28:16.174508,SKU_13,Furniture,Brand_A,EU,1528.14,21,No,No,Tables
2025-05-09 07:28:16.174721,SKU_5,Furniture,Brand_B,NA,948.8,19,No,Yes,Chairs
2025-05-09 07:28:16.174913,SKU_8,Furniture,Brand_D,APAC,1903.6,14,No,Yes,Tables
2025-05-09 07:28:16.175157,SKU_12,Furniture,Brand_C,NA,1411.77,18,No,No,Tables
2025-05-09 07:28:16.175400,SKU_6,Furniture,Brand_A,NA,1315.96,22,Yes,No,Tables
2025-05-09 07:28:16.175607,SKU_2,Electronics,Brand_C,EU,1557.4,20,Yes,No,Smartphones
2025-05-09 07:28:16.175831,SKU_4,Furniture,Brand_A,APAC,1765.6,19,No,Yes,Sofas
2025-05-09 07:28:16.176026,SKU_5,Furniture,Brand_A,NA,1443.35,18,Yes,Yes,Chairs
2025-05-09 07:28:16.176296,SKU_11,Electronics,Brand_A,EU,765.5946262268709,7,No,No,Cameras
2025-05-10 07:28:16.171775,SKU_13,Furniture,Brand_C,EU,1492.27,12,Yes,No,Sofas
2025-05-10 07:28:16.172009,SKU_8,Furniture,Brand_A,EU,1526.44,22,No,No,Tables
2025-05-10 07:28:16.172273,SKU_5,Electronics,Brand_A,EU,1259.79,21,Yes,Yes,Smartphones
2025-05-10 07:28:16.172611,SKU_6,Furniture,Brand_C,NA,1817.0,19,No,No,Tables
2025-05-10 07:28:16.172833,SKU_15,Furniture,Brand_B,NA,1701.11,14,No,No,Chairs
2025-05-10 07:28:16.173073,SKU_16,Furniture,Brand_D,NA,1664.7,15,No,No,Chairs
2025-05-10 07:28:16.173325,SKU_11,Electronics,Brand_C,APAC,1820.06,15,No,No,Cameras
2025-05-10 07:28:16.173533,SKU_7,Furniture,Brand_C,APAC,1185.21,12,No,No,Sofas
2025-05-10 07:28:16.173728,SKU_6,Furniture,Brand_A,EU,1521.35,20,No,Yes,Sofas
2025-05-10 07:28:16.173946,SKU_12,Electronics,Brand_C,NA,1832.62,14,Yes,Yes,Laptops
2025-05-10 07:28:16.174276,SKU_4,Electronics,Brand_C,EU,1489.47,15,No,Yes,Cameras
2025-05-10 07:28:16.174506,SKU_14,Furniture,Brand_D,NA,1544.3,15,Yes,No,Tables
2025-05-10 07:28:16.174719,SKU_11,Furniture,Brand_C,APAC,1535.73,16,Yes,No,Tables
2025-05-10 07:28:16.174911,SKU_12,Furniture,Brand_A,EU,1641.87,22,No,No,Sofas
2025-05-10 07:28:16.175155,SKU_2,Furniture,Brand_D,NA,922.94,13,No,Yes,Sofas
2025-05-10 07:28:16.175398,SKU_11,Furniture,Brand_C,NA,1535.72,17,No,No,Tables
2025-05-10 07:28:16.175606,SKU_13,Furniture,Brand_A,NA,1619.09,27,Yes,Yes,Tables
2025-05-10 07:28:16.175829,SKU_11,Furniture,Brand_D,EU,1617.81,18,No,Yes,Tables
2025-05-10 07:28:16.176024,SKU_9,Electronics,Brand_C,APAC,1980.06,24,Yes,Yes,Smartphones
2025-05-10 07:28:16.176293,SKU_16,Electronics,Brand_A,NA,1324.55,16,No,Yes,Laptops
2025-05-11 07:28:16.171773,SKU_5,Furniture,Brand_D,EU,1994.34,28,Yes,No,Sofas
2025-05-11 07:28:16.172007,SKU_12,Electronics,Brand_A,NA,1391.17,24,Yes,Yes,Cameras
2025-05-11 07:28:16.172271,SKU_3,Furniture,Brand_D,EU,1095.28,11,Yes,Yes,Chairs
2025-05-11 07:28:16.172610,SKU_16,Furniture,Brand_C,APAC,1951.66,22,No,No,Tables
2025-05-11 07:28:16.172831,SKU_19,Furniture,Brand_B,NA,1815.81,16,No,No,Sofas
2025-05-11 07:28:16.173071,SKU_17,Furniture,Brand_D,EU,1540.83,19,No,Yes,Chairs
2025-05-11 07:28:16.173322,SKU_11,Electronics,Brand_C,NA,1324.36,14,No,Yes,Smartphones
2025-05-11 07:28:16.173531,SKU_19,Furniture,Brand_D,EU,1437.39,14,No,Yes,Sofas
2025-05-11 07:28:16.173726,SKU_18,Furniture,Brand_B,APAC,1576.63,18,Yes,No,Chairs
2025-05-11 07:28:16.173944,SKU_9,Furniture,Brand_A,APAC,1916.3,23,Yes,No,Tables
2025-05-11 07:28:16.174272,SKU_13,Furniture,Brand_B,EU,1105.14,18,No,No,Tables
2025-05-11 07:28:16.174504,SKU_6,Electronics,Brand_B,APAC,1436.91,16,No,Yes,Cameras
2025-05-11 07:28:16.174717,SKU_3,Furniture,Brand_A,NA,1420.99,24,Yes,No,Sofas
2025-05-11 07:28:16.174909,SKU_12,Electronics,Brand_B,APAC,1354.62,18,No,No,Laptops
2025-05-11 07:28:16.175153,SKU_9,Electronics,Brand_C,NA,1305.66,15,No,Yes,Smartphones
2025-05-11 07:28:16.175397,SKU_9,Furniture,Brand_D,APAC,1982.17,25,No,No,Chairs
2025-05-11 07:28:16.175604,SKU_15,Furniture,Brand_B,APAC,1259.42,14,No,No,Tables
2025-05-11 07:28:16.175827,SKU_1,Furniture,Brand_D,NA,1540.42,16,No,No,Tables
2025-05-11 07:28:16.176022,SKU_18,Electronics,Brand_D,APAC,1146.03,12,No,No,Laptops
2025-05-11 07:28:16.176289,SKU_15,Electronics,Brand_A,NA,1760.41,17,Yes,No,Cameras
2025-05-12 07:28:16.171771,SKU_8,Furniture,Brand_B,NA,1352.11,20,No,No,Chairs
2025-05-12 07:28:16.172005,SKU_11,Furniture,Brand_A,APAC,838.92,18,Yes,No,Chairs
2025-05-12 07:28:16.172269,SKU_17,Electronics,Brand_A,APAC,1792.01,23,No,No,Smartphones
2025-05-12 07:28:16.172608,SKU_14,Furniture,Brand_D,NA,1333.63,16,Yes,No,Sofas
2025-05-12 07:28:16.172829,SKU_19,Electronics,Brand_C,EU,1893.11,18,Yes,No,Smartphones
2025-05-12 07:28:16.173069,SKU_5,Electronics,Brand_D,APAC,1826.72,9,Yes,Yes,Laptops
2025-05-12 07:28:16.173321,SKU_2,Electronics,Brand_A,APAC,1466.62,18,No,Yes,Laptops
2025-05-12 07:28:16.173529,SKU_15,Electronics,Brand_B,EU,1618.84,27,No,No,Laptops
2025-05-12 07:28:16.173724,SKU_19,Furniture,Brand_C,EU,1528.39,26,No,No,Chairs
2025-05-12 07:28:16.173942,SKU_16,Furniture,Brand_C,APAC,1079.7,13,No,No,Chairs
2025-05-12 07:28:16.174268,SKU_13,Electronics,Brand_B,APAC,1927.01,23,Yes,No,Laptops
2025-05-12 07:28:16.174502,SKU_7,Furniture,Brand_B,APAC,1423.24,22,Yes,No,Chairs
2025-05-12 07:28:16.174711,SKU_17,Electronics,Brand_C,EU,1507.08,20,Yes,No,Smartphones
2025-05-12 07:28:16.174907,SKU_19,Furniture,Brand_A,APAC,1511.37,16,No,No,Sofas
2025-05-12 07:28:16.175151,SKU_7,Electronics,Brand_C,EU,1432.19,16,No,No,Cameras
2025-05-12 07:28:16.175395,SKU_12,Furniture,Brand_C,EU,1691.89,24,No,No,Sofas
2025-05-12 07:28:16.175602,SKU_13,Furniture,Brand_C,NA,1470.81,16,Yes,No,Sofas
2025-05-12 07:28:16.175822,SKU_13,Electronics,Brand_A,EU,1346.1,20,No,No,Smartphones
2025-05-12 07:28:16.176020,SKU_14,Furniture,Brand_B,NA,1375.66,15,No,No,Tables
2025-05-12 07:28:16.176286,SKU_15,Electronics,Brand_B,EU,1998.8,20,No,No,Cameras
2025-05-13 07:28:16.171769,SKU_2,Furniture,Brand_B,EU,1517.78,19,No,Yes,Chairs
2025-05-13 07:28:16.172003,SKU_6,Electronics,Brand_A,NA,1987.47,18,No,Yes,Laptops
2025-05-13 07:28:16.172267,SKU_9,Furniture,Brand_A,NA,1213.12,18,Yes,No,Sofas
2025-05-13 07:28:16.172606,SKU_15,Furniture,Brand_B,NA,1306.32,18,No,No,Tables
2025-05-13 07:28:16.172827,SKU_20,Electronics,Brand_D,NA,1355.04,21,Yes,Yes,Smartphones
2025-05-13 07:28:16.173067,SKU_16,Electronics,Brand_D,NA,1475.36,17,Yes,No,Laptops
2025-05-13 07:28:16.173319,SKU_2,Furniture,Brand_B,NA,1285.64,18,Yes,No,Sofas
2025-05-13 07:28:16.173527,SKU_3,Furniture,Brand_D,NA,1461.51,12,No,Yes,Tables
2025-05-13 07:28:16.173722,SKU_20,Electronics,Brand_D,EU,1560.37,13,No,No,Laptops
2025-05-13 07:28:16.173940,SKU_8,Electronics,Brand_B,EU,1801.54,14,Yes,Yes,Smartphones
2025-05-13 07:28:16.174265,SKU_8,Electronics,Brand_B,NA,1097.11,21,No,No,Smartphones
2025-05-13 07:28:16.174487,SKU_7,Electronics,Brand_A,APAC,1778.68,17,No,No,Cameras
2025-05-13 07:28:16.174707,SKU_11,Furniture,Brand_D,NA,1721.62,23,Yes,No,Chairs
2025-05-13 07:28:16.174905,SKU_13,Furniture,Brand_D,APAC,1207.74,19,No,No,Tables
2025-05-13 07:28:16.175149,SKU_8,Furniture,Brand_B,EU,1263.46,24,No,No,Tables
2025-05-13 07:28:16.175393,SKU_9,Furniture,Brand_C,EU,1607.55,19,Yes,No,Chairs
2025-05-13 07:28:16.175600,SKU_16,Furniture,Brand_B,APAC,1310.99,17,Yes,No,Chairs
